step,loss
00842,5.8812
00843,5.8954
00844,5.8866
00845,5.8941
00846,5.9131
00847,5.9030
00848,5.8876
00849,5.8935
00850,5.8848
00851,5.8886
00852,5.8907
00853,5.8807
00854,5.8949
00855,5.8972
00856,5.9052
00857,5.8979
00858,5.8954
00859,5.8898
00860,5.9000
00861,5.8994
00862,5.8970
00863,5.8863
00864,5.8828
00865,5.8927
00866,5.8973
00867,5.9037
00868,5.9017
00869,5.8986
00870,5.9031
00871,5.8967
00872,5.8821
00873,5.8761
00874,5.8879
00875,5.9113
00876,5.8985
00877,5.8975
00878,5.8958
00879,5.8996
00880,5.9082
00881,5.8907
00882,5.8821
00883,5.8888
00884,5.8862
00885,5.8966
00886,5.9136
00887,5.8960
00888,5.8975
00889,5.8860
00890,5.8964
00891,5.8948
00892,5.8868
00893,5.8854
00894,5.8846
00895,5.8795
00896,5.8836
00897,5.8957
00898,5.8874
00899,5.8877
00900,5.8851
00901,5.8791
00902,5.8861
00903,5.8896
00904,5.8983
00905,5.9137
00906,5.9157
00907,5.8961
00908,5.8798
00909,5.8945
00910,5.9131
00911,5.8852
00912,5.8874
00913,5.8876
00914,5.9148
00915,5.9496
00916,5.9674
00917,5.9164
00918,5.8975
00919,5.8921
00920,5.8841
00921,5.8778
00922,5.8849
00923,5.8841
00924,5.8840
00925,5.8876
00926,5.8938
00927,5.9005
00928,5.8992
00929,5.8738
00930,5.8772
00931,5.8925
00932,5.8861
00933,5.9013
00934,5.8867
00935,5.8938
00936,5.8868
00937,5.8783
00938,5.8750
00939,5.8826
00940,5.8911
00941,5.8861
00942,5.8864
00943,5.8708
00944,5.8701
00945,5.8804
00946,5.8980
00947,5.9069
00948,5.8960
00949,5.8945
00950,5.8958
00951,5.8999
00952,5.8926
00953,5.8802
00954,5.8826
00955,5.8744
00956,5.8779
00957,5.8811
00958,5.8814
00959,5.8729
00960,5.8816
00961,5.8882
00962,5.8808
00963,5.8809
00964,5.8883
00965,5.8832
00966,5.8785
00967,5.8789
00968,5.8882
00969,5.8891
00970,5.9025
00971,5.9001
00972,5.8839
00973,5.8838
00974,5.8916
00975,5.8890
00976,5.8866
00977,5.8725
00978,5.8708
00979,5.8777
00980,5.8830
00981,5.8782
00982,5.8736
00983,5.8834
00984,5.8954
