step,loss
00586,6.3365
00587,6.3662
00588,6.3943
00589,6.3763
00590,6.3426
00591,6.3351
00592,6.3365
00593,6.3513
00594,6.3411
00595,6.3502
00596,6.3451
00597,6.3659
00598,6.3350
00599,6.3548
00600,6.3385
00601,6.3357
00602,6.3607
00603,6.3435
00604,6.3459
00605,6.3484
00606,6.3658
00607,6.3177
00608,6.3156
00609,6.3314
00610,6.3214
00611,6.3502
00612,6.3586
00613,6.3691
00614,6.3524
00615,6.3290
00616,6.3113
00617,6.3259
00618,6.3282
00619,6.3564
00620,6.3314
00621,6.3390
00622,6.3285
00623,6.3373
00624,6.3342
00625,6.3254
00626,6.3533
00627,6.3303
00628,6.3231
00629,6.3192
00630,6.3232
00631,6.3244
00632,6.3116
00633,6.3439
00634,6.3308
00635,6.3538
00636,6.3300
00637,6.3458
00638,6.3329
00639,6.3288
00640,6.3390
00641,6.3310
00642,6.3530
00643,6.3531
00644,6.3437
00645,6.3455
00646,6.3285
00647,6.3278
00648,6.3260
00649,6.3457
00650,6.3351
00651,6.3125
00652,6.3388
00653,6.3167
00654,6.3355
00655,6.3060
00656,6.3065
00657,6.3114
00658,6.2976
00659,6.2957
00660,6.3459
00661,6.3703
00662,6.3472
00663,6.3389
00664,6.3414
00665,6.3116
00666,6.3173
00667,6.3126
00668,6.3464
00669,6.3389
00670,6.3376
00671,6.3414
00672,6.3432
00673,6.3327
00674,6.3393
00675,6.3302
00676,6.3418
00677,6.3015
00678,6.3056
00679,6.2995
00680,6.3579
00681,6.3584
00682,6.3254
00683,6.3180
00684,6.3083
00685,6.2931
00686,6.3464
00687,6.3306
00688,6.3395
00689,6.3295
00690,6.3169
00691,6.3401
00692,6.3345
00693,6.3275
00694,6.3314
00695,6.3140
00696,6.3296
00697,6.3168
00698,6.3322
00699,6.3052
00700,6.3279
00701,6.3316
00702,6.3235
00703,6.3090
00704,6.3114
00705,6.2959
00706,6.3239
00707,6.2966
00708,6.2991
00709,6.2913
00710,6.3328
00711,6.3041
00712,6.3281
00713,6.3298
00714,6.3267
00715,6.3025
00716,6.3059
00717,6.2950
00718,6.3107
00719,6.3492
00720,6.3337
00721,6.3319
00722,6.3194
00723,6.3351
00724,6.3179
00725,6.3004
00726,6.2901
00727,6.3316
00728,6.3468
00729,6.3389
00730,6.3170
00731,6.3031
00732,6.2894
00733,6.2988
00734,6.3225
00735,6.3210
00736,6.3259
00737,6.3114
00738,6.2964
00739,6.3339
00740,6.3282
00741,6.3350
00742,6.3348
00743,6.3433
00744,6.2957
00745,6.3108
00746,6.3039
00747,6.3170
00748,6.3131
00749,6.3103
00750,6.3025
00751,6.3338
00752,6.3255
00753,6.3285
00754,6.2993
00755,6.3215
00756,6.2903
00757,6.3102
00758,6.2859
00759,6.2937
00760,6.3063
00761,6.3351
00762,6.2986
00763,6.3249
00764,6.3183
00765,6.3335
00766,6.2928
00767,6.3163
00768,6.3328
00769,6.3243
00770,6.3352
00771,6.3285
00772,6.3136
00773,6.3139
00774,6.2991
00775,6.3037
00776,6.2887
00777,6.2983
00778,6.3163
00779,6.3110
00780,6.3122
00781,6.2770
00782,6.2986
00783,6.3065
00784,6.3203
00785,6.3657
00786,6.2926
00787,6.3326
00788,6.3200
00789,6.2842
00790,6.3087
00791,6.2980
00792,6.3335
00793,6.3174
00794,6.3139
00795,6.3107
00796,6.3216
00797,6.3214
00798,6.3007
00799,6.3020
00800,6.2783
00801,6.2739
00802,6.2791
00803,6.2726
00804,6.3049
00805,6.2874
00806,6.2846
00807,6.2914
00808,6.2782
00809,6.2997
00810,6.3156
00811,6.3080
00812,6.3167
00813,6.2886
00814,6.3115
00815,6.3193
00816,6.3005
00817,6.2949
00818,6.2949
00819,6.3386
00820,6.3030
00821,6.3063
00822,6.2848
00823,6.2944
00824,6.3034
00825,6.2866
00826,6.3089
00827,6.2885
00828,6.3189
00829,6.3300
00830,6.3259
00831,6.3272
00832,6.2999
00833,6.2856
00834,6.3048
00835,6.2916
00836,6.2947
00837,6.2922
00838,6.3110
00839,6.3136
00840,6.3116
00841,6.3506
00842,6.3061
00843,6.2950
00844,6.2839
00845,6.2784
00846,6.2659
00847,6.2906
00848,6.2952
00849,6.3061
00850,6.2995
00851,6.3152
00852,6.3386
00853,6.3325
00854,6.3413
00855,6.3174
00856,6.2887
00857,6.3037
00858,6.2807
00859,6.3059
00860,6.2956
00861,6.2771
00862,6.2988
00863,6.2946
00864,6.3145
00865,6.2966
00866,6.2696
00867,6.3234
00868,6.3173
00869,6.3095
00870,6.2982
00871,6.2774
00872,6.2860
00873,6.2834
00874,6.3019
00875,6.2875
00876,6.3055
00877,6.3029
00878,6.2956
00879,6.2991
00880,6.2792
00881,6.2755
00882,6.3172
00883,6.2845
00884,6.2978
00885,6.3108
00886,6.2917
00887,6.3029
00888,6.3125
00889,6.3198
00890,6.2866
00891,6.2775
00892,6.2703
00893,6.2788
00894,6.2903
00895,6.2981
00896,6.2923
00897,6.2930
00898,6.2726
00899,6.2664
00900,6.2912
00901,6.2769
00902,6.2871
00903,6.2769
00904,6.3039
00905,6.3011
00906,6.3147
00907,6.3141
00908,6.2805
00909,6.2817
00910,6.2810
00911,6.2882
00912,6.3074
00913,6.2743
00914,6.2824
00915,6.2806
00916,6.2705
00917,6.2947
00918,6.3177
00919,6.3072
00920,6.3382
00921,6.3292
00922,6.3011
00923,6.2769
00924,6.2652
00925,6.2728
00926,6.3023
00927,6.2710
00928,6.2707
00929,6.2575
00930,6.3088
00931,6.3069
00932,6.3096
00933,6.3087
00934,6.2689
00935,6.2672
00936,6.2936
00937,6.3321
00938,6.2927
00939,6.2656
00940,6.2691
00941,6.2705
00942,6.2478
00943,6.2954
00944,6.3326
00945,6.3212
00946,6.3168
00947,6.2917
00948,6.2926
00949,6.3326
00950,6.3041
00951,6.2806
00952,6.2956
00953,6.2848
00954,6.2563
00955,6.2962
00956,6.2799
00957,6.2779
00958,6.2939
00959,6.2819
00960,6.2839
00961,6.2713
00962,6.2640
00963,6.2791
00964,6.2846
00965,6.2857
00966,6.2909
00967,6.2912
00968,6.3002
00969,6.2741
00970,6.2897
00971,6.2818
00972,6.2656
00973,6.2720
00974,6.3028
00975,6.2836
00976,6.2948
00977,6.2992
00978,6.2996
00979,6.2831
00980,6.2848
00981,6.2782
00982,6.2647
00983,6.2605
00984,6.2614
00985,6.2933
00986,6.2999
00987,6.3057
00988,6.2864
00989,6.2999
00990,6.2823
00991,6.2794
00992,6.2898
00993,6.2969
00994,6.2833
00995,6.2793
00996,6.2700
00997,6.2636
00998,6.2843
00999,6.2829
01000,6.2824
01001,6.2568
01002,6.2784
01003,6.2771
01004,6.2758
01005,6.2498
01006,6.2724
01007,6.2974
01008,6.2843
01009,6.2993
01010,6.2772
01011,6.2864
01012,6.3125
01013,6.3154
01014,6.2967
01015,6.2717
01016,6.2537
01017,6.2493
01018,6.2558
01019,6.2693
01020,6.2496
01021,6.2859
01022,6.3093
01023,6.3035
01024,6.2731
01025,6.2624
01026,6.2776
01027,6.2692
01028,6.2788
01029,6.2649
01030,6.2902
01031,6.2983
01032,6.2650
01033,6.2615
01034,6.2751
01035,6.2967
01036,6.3033
01037,6.2940
01038,6.2856
01039,6.2556
01040,6.2713
01041,6.2405
01042,6.2765
01043,6.2918
01044,6.3161
01045,6.2907
01046,6.2789
01047,6.2510
01048,6.2660
01049,6.2650
01050,6.3103
01051,6.2993
01052,6.2553
01053,6.2875
01054,6.2856
01055,6.2787
01056,6.2668
01057,6.2709
01058,6.2550
01059,6.2796
01060,6.2737
01061,6.2428
01062,6.2622
01063,6.2479
01064,6.2572
01065,6.3013
01066,6.2778
01067,6.2539
01068,6.2786
01069,6.2762
01070,6.2742
01071,6.2661
01072,6.2748
01073,6.2787
01074,6.3008
01075,6.2912
01076,6.2795
01077,6.2697
01078,6.2687
01079,6.2628
01080,6.2654
01081,6.2779
01082,6.2839
01083,6.2552
01084,6.2748
01085,6.2634
01086,6.2666
01087,6.2713
01088,6.2487
01089,6.2560
01090,6.2904
01091,6.2889
01092,6.2880
01093,6.2713
01094,6.2565
01095,6.2532
01096,6.2610
01097,6.2931
01098,6.2670
01099,6.2396
01100,6.2419
01101,6.2467
